,PNT_OF_INT,DESCRPTION,SOCIAL_MED,WEBSITE,CATEGORY,LOCATION,X,Y,LONGITUDE,LATITUDE,OBJECTID,RID,geometry
0,21 Points in Equilibrium (Sculpture),"This sculpture is by James Southerland. It is an interpretation of the civic political process. A carefully coneived site sculpture, it extends from outdoors into the lobby of the Scarborough Civic Centre. Formed of 21 pieces of polished, welded aluminum",,,Public Art,150 Borough Dr,324341.227,4847914.922,-79.257066555,43.772936248,75154.0,1,POINT (-79.25706655499999 43.772936248)
1,Crucified Again (Sculpture),"Crucified Again shows the body of a tortured man crucified on a sickle and a hammer, a symbol of the soviet oppression. This monument was unveiled on Czechoslovak Day on July 2nd, 1989. It is located at Masaryk Institute, a not-for-profit charitable orga",,,Public Art,450 Scarborough Golf Club Road,327641.001,4845799.116,-79.216170331,43.7538063535,75155.0,2,POINT (-79.2161703309953 43.7538063534814)
2,A Tall Couple (Sculpture),"Louis Archambault (1915-2003) created A Tall Couple, the bronze sculpture nestled in the perennial gardens by UTSC's H-wing patio. Commissioned for Expo 67 in Montreal, the work was later donated to the university by the House of Seagram, a sponsor of th",,,Public Art,"-79.187369, 43.783078",329947.86,4849060.368,-79.187369,43.783078,102997.0,3,POINT (-79.187369 43.783078)
3,Warden Underpass Mural (Mural),"The Warden Underpass Mural provides a visual history of Scarborough. Painted in 2012 and 2013, this mural fills the underpass on Warden Avenue south of Danforth Road. The west wall shows the iconic Bluffs and Elizabeth Simcoe, the woman who gave Scarboro",,,Public Art,"-79.273286, 43.693461",323059.616,4839081.887,-79.273286,43.693461,102998.0,4,POINT (-79.273286 43.693461)
4,Sustenance (Mural),"Sustenance, also known as the ""Western Gateway"" mural is one of two gateway murals, created as Signature Projects of the Cultural Hotspot. The mural, created by artist Bill Wrigley focuses on the community's relationship with the bluffs overlooking Lake",,,Public Art,"-79.255266, 43.700826",324509.747,4839904.258,-79.255266,43.700826,102999.0,5,POINT (-79.25526600000001 43.700826)
5,Eruption (Sculpture),"This sculpture is by Janis Karlous. It is not the heavenly bodies, but powerful earthly forces that are at work. This sculpture is 3.2m high, 4.1m x4.3m at the base, four wedge-shaped stones rise between, and simultaneously also force apart, four massive",,,Public Art,"-79.256558, 43.773699",324381.921,4847999.778,-79.256558,43.773699,103000.0,6,POINT (-79.256558 43.773699)
6,Procession (Sculpture),"This sculpture is by Peter Roller, an artist from Slovakia. Three rectangular figures, symbols of humankind, stand in a row. Each bends slightly forward, as if moving forward in solemn stately fashion. Placed on a long base that is less than a metre high",,,Public Art,"-79.25685, 43.773829",324358.372,4848014.152,-79.25685,43.773829,103001.0,7,POINT (-79.25685 43.773829)
7,"""The Owl"" Mural (Mural)","Painted in the early seventies on the wall of MacMillan Auto Sales, this mural quickly became a favourite icon of the community and the Crossroads BIA. The building now houses Selected Fine Cars, but the owl remains and continues to be a much loved featu",,,Public Art,3206 Danforth Ave,322253.24,4838985.637,-79.2832958283,43.6926225366,75142.0,8,POINT (-79.28329582833911 43.6926225366017)
8,Giant Birch Tree (Mural),This Mural Routes project was painted and installed in 2012. This is one of the murals created for the Birchcliff Community Mural Project. The initiative for the project came from members of the community who wanted to bring a sense of pride to the Birch,,,Public Art,1445 Kingston Road,323273.62,4838437.409,-79.2706559604,43.6876632719,75144.0,9,POINT (-79.2706559604036 43.6876632719433)
9,Birches and Bluffs (Mural),This Mural Routes project was painted in 2014. This is one of the murals created for the Birchcliff Community Mural Project. The initiative for the project came from members of the community who wanted to bring a sense of pride to the Birch Cliff neighbo,,,Public Art,1674 Kingston Road,323784.419,4838915.71,-79.2643033626,43.6919555022,75145.0,10,POINT (-79.2643033626094 43.6919555022455)
